Systeme,Classe,Hote_contexte,Methode_lecture,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,T1_s,T2_us,Contraste_%,Temperature_K,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,DOI,Annee,Qualite,Verification_statut,Notes,dataset_source,last_updated
Quantum dots CdSe avec lecture de spin,B,Solution cryogénique (in_vitro),Optical-only,Variable,5.0,Electron,Exciton,,,0.05,3.0,77.0,5-10,,,,0.02,,1.0,0.0,1.0,"Toxicité Cd élevée, NON biocompatible",0.0,,"Cryogénique 77 K azote liquide, laser accordable 600-650 nm, champ B 5 T, rotation Faraday","Requiert 77 K obligatoire, toxicité Cd++ mortelle cellules, T2 ultra-court 50 ns, NON applicable vivant",0.0,10.1103/PhysRevLett.104.067405,2010.0,1.0,verifie,Détection optique Faraday rotation. Référence lecture spin quantum dots mais NON applicable biologie (cryo+toxique). Qualité 1 justifiée. T2=0.05±0.02 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606
Quantum dots InP/ZnS biocompatibles,B,Cellules HeLa (in_cellulo),Optical-only,Variable,0.0,Electron,Exciton,,,0.03,,295.0,5-8,DOI:10.1021/acsnano.7b08724 Fig.4c,,,0.015,,,0.0,0.0,"Non toxique (sans Cd/Pb), biocompatible <200 µg/mL",1.0,em_600-700nm; QY_0.45,"Milieu culture DMEM, imagerie fluorescence, pas de lecture spin directe, bioconjugaison anticorps, RT","T2=30±15 ns estimé (non mesuré spin), pas de lecture ODMR/ESR démontrée, seulement fluorescence, potentiel théorique",0.0,10.1021/acsnano.7b08724,2017.0,1.0,a_confirmer,InP/ZnS alternative non-toxique CdSe. Émission 600-700nm rouge. Biocompatible mais lecture spin non démontrée. T2=0.03±0.015 µs estimé exciton. Classe B qualité 1 : potentiel théorique seulement.,biological_qubits_v1,2025-11-19T02:19:30.335606
Single SnV-/GeV- in diamond (laser-activated),B,Bulk diamond (in_vitro),ODMR,Variable (cryo control),0.0,Electron (S=1/2 group-IV),"SnV-, GeV-",Diamond (single photon emitter),,,,4.0,Bulk,,,DOI:10.1038/s41467-025-60373-5,,,,0.0,0.0,Single emitters in bulk; not yet translated to nanodiamonds in cells,1.0,ex_laser-activation; SnV-_ZPL_619nm; GeV-_ZPL_602nm,Cryogenic (~4 K); deterministic laser activation of single color centers; bulk diamond platform,Cryogenic operation; not yet demonstrated in biological media,0.0,10.1038/s41467-025-60373-5,2025.0,3.0,verifie,"Deterministic laser activation of single group-IV color centers (SnV-, GeV-) in diamond. Nat Commun 2025-06-02. Enables scalable single-qubit arrays for future nanodiamond-in-cell applications.",enrichment_v3_B,2026-04-16T23:17:41.716842+00:00
SnV- nanodiamonds in solution,B,Solution aqueous (in_vitro),ODMR,~500 MHz (ground-state splitting),0.0,Electron (S=1/2),SnV-,Nanodiamond,,0.2,5.0,4.0,50.0,arXiv:2503.19490,,arXiv:2503.19490,0.1,,2.0,0.0,0.0,Diamond nanoparticles biocompatible; Sn content trace,1.0,ZPL_619nm (SnV-); em_620-680nm,"Nanodiamond suspension, cryogenic optical control, ODMR probes",Requires cryogenic operation; cellular application pending; arXiv preprint,0.0,10.48550/arXiv.2503.19490,2025.0,2.0,a_confirmer,Red-shifted alternative to NV with potentially longer coherence at cryo. Preprint; peer review pending.,enrichment_v3_B,2026-04-16T23:17:41.716842+00:00
VSi defect 4H-SiC V1 site,B,bulk,ODMR,,,Electron,,,,120.0,,295.0,,,,,,,,,,,,,,,,10.1103/physrevb.92.115206,2015.0,2.0,a_confirmer,"Silicon vacancy V1 site in 4H polytype, complementary to V2",nonoptical_merge_v2,2025-11-19T02:52:29.669141
VSi defect in 4H-SiC,B,bulk,ODMR,,,Electron,,,,160.0,,295.0,,,,,,,,,,,,,,,,10.1038/nmat4145,2014.0,2.0,a_confirmer,"Silicon vacancy in 4H polytype, room temperature ODMR control",nonoptical_merge_v2,2025-11-19T02:52:29.668759
hBN VB2 low-symmetry spin qubit,B,hBN monolayer (in_vitro),ODMR,Variable (reduced linewidth at 0 field),0.0,"Electron (triplet, VB2)",VB-VN-NB (VB2),Monolayer hBN,,,,295.0,sub-nm defect,,,DOI:10.1038/s41524-024-01361-z,,,,0.0,0.0,"Defect in engineered 2D material, not biological",0.0,PL red-shift 60 nm vs VB; narrow line at 0 field,"STEM-characterized monolayer hBN, optical pumping + MW; pressure 30 MPa/Hz^1/2, DC electric field 907 kV/cm/Hz^1/2, DC magnetic field 463 uT/Hz^1/2 (CW single defect)",Not yet in biological host; quantum sensing sensitivities measured on 2D foils,0.0,10.1038/s41524-024-01361-z,2024.0,2.0,a_confirmer,npj Comput Mater 2024-08-15. Low-symmetry neutral defect complex. Foundation for future biological integration via 2D foils or hybrid sensors.,enrichment_v3_B,2026-04-16T23:17:41.716842+00:00
hBN color centers intracellular (single-photon barcoding),B,HeLa cells (in_cellulo),Optical-only,,0.0,Electron (color center),hBN color centers (various),hBN exfoliated nanoflakes,,,,310.0,50-500,,,,,,,0.0,0.0,Biocompatible and biodegradable; no proliferation effect up to 75 ug/mL,0.0,ex_532nm; em_570-700nm; stable single-photon emission,"Cellular internalization of hBN flakes, live HeLa imaging, antibunching characterization; 470 emission states enabling ~10^3 barcodes","ODMR not yet demonstrated intracellularly; primarily optical single-photon emitter, not a quantum sensor in this report",0.0,10.1039/D3NR05305A,2024.0,3.0,verifie,"Demonstrates biocompatibility path for hBN emitters. Kavcic et al., Nanoscale 16:4691-4702 (2024). Foundation for future intracellular ODMR work on hBN spin defects.",enrichment_v3_B,2026-04-16T23:17:41.716842+00:00
13C in diamond (coupled to NV),C,bulk,dynamical_decoupling,,,Noyau,,,,1000000.0,,298.0,,,,,,,,,,,,,,,,10.1103/physrevlett.109.137602,2012.0,2.0,a_confirmer,"13C nuclear spin coupled to NV center, room temperature",nonoptical_merge_v2,2025-11-19T02:52:29.669720
13C in lactate (hyperpolarized),C,in_vitro,DNP_MRI,,,Noyau,,,45.0,,,310.0,,,,,,,,,,,,,,,,10.1002/mrm.25460,2015.0,2.0,a_confirmer,"Hyperpolarized 13C-lactate, downstream metabolite of pyruvate",nonoptical_merge_v2,2025-11-19T02:52:29.669999
13C in pyruvate (hyperpolarized),C,in_vivo,DNP_MRI,,,Noyau,,,60.0,,,310.0,,,,,,,,,,,,,,,,10.1073/pnas.0601319103,2006.0,2.0,a_confirmer,"Hyperpolarized 13C-pyruvate for in vivo metabolic imaging, FDA-approved",nonoptical_merge_v2,2025-11-19T02:52:29.669934
14N in diamond (NV center intrinsic),C,bulk,ODMR,,,Electron,,,,3000.0,,298.0,,,,,,,,,,,,,,,,10.1126/science.1231364,2013.0,2.0,a_confirmer,"14N nuclear spin intrinsic to NV center, room temperature control",nonoptical_merge_v2,2025-11-19T02:52:29.669828
15N in choline (hyperpolarized),C,in_vitro,DNP_MRI,,,Noyau,,,90.0,,,298.0,,,,,,,,,,,,,,,,10.1002/mrm.26854,2017.0,2.0,a_confirmer,Hyperpolarized 15N-choline for cell membrane imaging,nonoptical_merge_v2,2025-11-19T02:52:29.670052
29Si in silicon (bulk),C,bulk,NMR,,,Noyau,,,,1800000000.0,,4.2,,,,,,,,,,,,,,,,10.1038/nature11449,2012.0,2.0,a_confirmer,29Si nuclear spins in isotopically purified silicon,nonoptical_merge_v2,2025-11-19T02:52:29.669881
31P in silicon (donor),C,bulk,pulsed_NMR,,,Noyau,,,60.0,30000000.0,,2.0,,,,,,,,,,,,,,,,10.1038/nature08812,2010.0,2.0,a_confirmer,"31P donor nuclear spin in silicon, long coherence times",nonoptical_merge_v2,2025-11-19T02:52:29.669774
Acétate [1-^13C] hyperpolarisé,C,Rat coeur (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,20.0,5000.0,,310.0,,DOI:10.1002/nbm.3406 Fig.3a,DOI:10.1002/nbm.3406 Fig.2b,,1000.0,4.0,,1.0,0.0,"Non toxique, substrat énergétique cardiaque",1.0,,"Injection IV 0.1 mL/kg, métabolisme cardiaque cycle Krebs, entrée acétyl-CoA, imagerie 3T, perfusion contrôlée","T1=20±4s très court limite observation, mais conversion rapide en acétyl-CoA informative, applications cardio-métaboliques",1.0,10.1002/nbm.3406,2015.0,2.0,verifie,Substrat énergétique myocarde. Conversion acétate→acétyl-CoA via acétyl-CoA synthétase. T1=20±4s court. T2=5±1 ms. Métabolisme oxydatif cardiaque. Qualité 2.,biological_qubits_v1,2025-11-19T02:19:30.335606
Alanine [1-^13C] hyperpolarisée,C,Rat foie (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,50.0,10000.0,,310.0,,DOI:10.1002/mrm.24999 Fig.4a,DOI:10.1002/mrm.24999 Fig.2b,,2000.0,10.0,,1.0,0.0,"Non toxique, métabolite transamination",1.0,,"Injection IV 0.15 mL/kg, biomarqueur transamination hépatique, conversion pyruvate→alanine ALT, 3T, anesthésie","T1=50±10s intermédiaire, conversion métabolique lente vs pyruvate, applications hépatologie fonction ALT",1.0,10.1002/mrm.24999,2014.0,2.0,verifie,Métabolisme transamination hépatique. Conversion pyruvate→alanine via ALT (alanine aminotransférase). T1=50±10s bon compromis. T2=10±2 ms prolongé. Fonction hépatique.,biological_qubits_v1,2025-11-19T02:19:30.335606
Bicarbonate H^13CO3- hyperpolarisé,C,Souris tumeurs (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,15.0,4000.0,,310.0,,DOI:10.1073/pnas.0808816105 Fig.3b,DOI:10.1073/pnas.0808816105 Fig.2a,,800.0,3.0,,1.0,0.0,"Non toxique, capteur pH extracellulaire",1.0,,"Injection IV rapide 0.1 mL/kg, équilibre CO2/HCO3- dépendant pH, imagerie pH tumoral 3T, tampon physiologique","T1=15±3s très court limite application, mais excellent pour pH rapide, sensibilité pH extracellulaire",1.0,10.1073/pnas.0808816105,2008.0,3.0,verifie,Capteur pH extracellulaire tumoral. Équilibre CO2 ⇌ HCO3- sensible pH via anhydrase carbonique. T1=15±3s court mais suffisant mesure pH. T2=4±0.8 ms. Hétérogénéité pH tumeurs.,biological_qubits_v1,2025-11-19T02:19:30.335606
Cross-site transportable HP 13C (clinical translation),C,Human (multi-site in_vivo),DNP_MRI,128 MHz,3.0,Noyau; 13C,,,50.0,7000.0,,310.0,,DOI:10.1038/s41467-026-71466-0,DOI:10.1038/s41467-026-71466-0,,1500.0,8.0,,1.0,0.0,Non-toxic,0.0,,Transportable hyperpolarization across cities; shelf life extension of hyperpolarized 13C substrates for distributed MRI,"Transport logistics, polarization decay during travel",1.0,10.1038/s41467-026-71466-0,2026.0,3.0,a_confirmer,Enables HP MRI at sites without on-premise polarizer. Key scale-out for clinical adoption. 2026 Nat Commun.,enrichment_v3_C,2026-04-16T23:17:41.716842+00:00
Fumarate ^13C hyperpolarisé,C,Souris (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,100.0,12000.0,,295.0,,DOI:10.1073/pnas.0911447107 Fig.2a,DOI:10.1073/pnas.0911447107 Suppl.S1,,2500.0,20.0,,1.0,0.0,"Non toxique, biomarqueur apoptose",1.0,,"Injection IV 0.15 mL/kg, biomarqueur nécrose tumorale, réduction enzymatique en malate, 3T","Moins réactif métaboliquement que pyruvate, cinétique lente (pic 60-90s post-injection)",1.0,10.1073/pnas.0911447107,2009.0,2.0,verifie,"Détection mort cellulaire via réduction malate. T1=100±20s très long, T2=12±2.5 ms = fenêtre observation étendue 3-5 min. Application oncologie.",biological_qubits_v1,2025-11-19T02:19:30.335606
Glucose ^13C hyperpolarisé,C,Rat (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,90.0,8000.0,,310.0,,DOI:10.1002/mrm.25951 Table2,DOI:10.1002/mrm.25951 Fig.3b,,2000.0,15.0,,1.0,0.0,"Aucune toxicité, métabolite naturel",1.0,,"Injection IV lente 0.2 mL/kg, polarisation DNP, imagerie métabolisme cérébral 3T, anesthésie isoflurane","Coût élevé DNP, T1=90±15s plus long que pyruvate mais signal conversion glycogène plus faible",1.0,10.1002/mrm.25951,2016.0,2.0,verifie,Suivi métabolisme cérébral glycogène. T1=90±15s (meilleur que pyruvate). T2=8±2 ms prolongé mais signal métabolique 5× plus faible.,biological_qubits_v1,2025-11-19T02:19:30.335606
"HP 13C clinical trial NCT05599048 (prostate, UCSF)",C,"Human prostate (in_vivo, trial)",DNP_MRI,128 MHz,3.0,Noyau; 13C,,,60.0,5000.0,,310.0,,,ClinicalTrials.gov NCT05599048,,1000.0,10.0,,1.0,0.0,Metabolite; clinical dose well tolerated,0.0,,"Active clinical trial (UCSF); 13C-pyruvate dissolution DNP, 3T MRI, prostate cancer assessment",Active trial; data in progress; pyruvate backbone,1.0,10.1038/s41551-020-00643-3,2024.0,2.0,verifie,Representative active clinical trial. DOI references UCSF technical platform paper. Tracker for ongoing 13C HP oncology pipeline.,enrichment_v3_C,2026-04-16T23:17:41.716842+00:00
"HP [13C,15N2]-urea brain MRI (first-in-human)",C,Human brain (in_vivo),DNP_MRI,128 MHz,3.0,Noyau; 13C + 15N,,,50.4,15000.0,,310.0,,DOI:10.1038/s44303-025-00073-3,DOI:10.1038/s44303-025-00073-3,,3000.0,2.0,,1.0,0.0,Non-toxic metabolite; FDA IND-approved for human trials,0.0,,"DNP polarizer (SpinAligner/HyperSense), dissolution, IV injection 0.25 mmol/kg, 3T MRI, dynamic bSSFP or CSI, anesthesia for pediatric","Complex logistics (polarizer at MRI site), costly, bolus timing critical; T1=50.4 s",1.0,10.1038/s44303-025-00073-3,2025.0,3.0,verifie,"First human brain [13C,15N2]-urea imaging. npj Imaging 2025. Expands HP MRI beyond pyruvate. Dual-nucleus marker enables blood-brain-barrier perfusion metrics.",enrichment_v3_C,2026-04-16T23:17:41.716842+00:00
"Hyperpolarized 129Xe (XENOVIEW, FDA-approved)",C,Human lung (in_vivo),DNP_MRI,35 MHz (129Xe at 3T),3.0,Noyau; 129Xe,,,30.0,30000.0,,310.0,,,FDA approval document (XENOVIEW 2022),,5000.0,5.0,,1.0,0.0,"Inhaled 129Xe gas, safe at clinical doses",0.0,Spin-exchange optical pumping (SEOP) polarization,"Inhalation of hyperpolarized 129Xe gas (~40%), 3T MRI lung ventilation/gas exchange imaging; clinical indication ventilation defects",Gas phase only; pulmonary indication; polarizer expensive (~$1M),1.0,10.1021/jacs.2c00316,2022.0,3.0,verifie,"XENOVIEW (Polarean) FDA-approved 2022-12 for pediatric/adult ventilation MRI. Expanding applications to long-COVID, IPF, COPD. Reference DOI: Polarean hyperpolarizer benchmark.",enrichment_v3_C,2026-04-16T23:17:41.716842+00:00
Lactate [1-^13C] hyperpolarisé,C,Souris tumeurs (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,30.0,7000.0,,310.0,,DOI:10.1073/pnas.1217131110 Fig.2a,DOI:10.1073/pnas.1217131110 Fig.3b,,1400.0,6.0,,1.0,0.0,"Non toxique, biomarqueur métabolisme glycolytique",1.0,,"Injection IV 0.1 mL/kg, biomarqueur effet Warburg tumoral, conversion pyruvate→lactate LDH, imagerie dynamique 3T","T1=30±6s limite fenêtre, signal métabolique fort mais rapide (conversion <20s), applications oncologie",1.0,10.1073/pnas.1217131110,2013.0,3.0,verifie,Biomarqueur métabolisme Warburg (glycolyse aérobie tumorale). Conversion pyruvate→lactate via LDH. T1=30±6s court mais suffisant. T2=7±1.4 ms. Ratio lactate/pyruvate = agressivité tumorale.,biological_qubits_v1,2025-11-19T02:19:30.335606
Pyruvate ^13C hyperpolarisé (DNP),C,in_vivo,NMR,128 MHz,3.0,Noyau; ^13C,,,60.0,5000.0,,295.0,,DOI:10.1073/pnas.0606881103 Table1,DOI:10.1073/pnas.0606881103 Fig.4a,,1000.0,10.0,,1.0,0.0,"Aucune toxicité doses cliniques, FDA-approuvé",1.0,,"Injection IV bolus 0.1 mL/kg, polarisation DNP 1.4 K puis dissolution rapide <5s, RMN 3T, acquisition dynamique 1s","Relaxation T1=60±10s limite fenêtre observation, coût infrastructure DNP ~500k€, dose unique",1.0,10.1073/pnas.0606881103,2006.0,3.0,verifie,"Imagerie métabolique temps réel glycolyse. FDA-approuvé cancer prostate 2023. T1=60±10s critique. T2=5±1 ms. Gain signal >10,000×. Référence classe C hyperpolarisé.",biological_qubits_v1,2025-11-19T02:19:30.335606
Radicaux nitroxyde (TEMPO) en imagerie EPR,C,Souris (in_vivo),ESR,250 MHz (L-band),0.009,Electron,Radical-nitroxyde,,1e-06,0.5,,310.0,,DOI:10.1016/j.freeradbiomed.2014.01.045 Fig.3,DOI:10.1016/j.freeradbiomed.2014.01.045 Fig.2b,,0.2,3e-07,,0.0,1.0,"Toxicité modérée >50 mg/kg, réduction rapide in vivo",1.0,,"Injection IV 25 mg/kg, imagerie EPR bas champ 9 mT (250 MHz), résolution spatiale 2 mm, anesthésie","Réduction biologique rapide T1=1±0.3 µs in vivo limite fenêtre <10s, toxicité modérée doses élevées",1.0,10.1016/j.freeradbiomed.2014.01.045,2014.0,2.0,verifie,Sonde redox in vivo stress oxydatif. Spin électronique (pas noyau). Applications précliniques. T1=1±0.3 µs ultra-court = limitation majeure. T2=0.5±0.2 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606
"Urée [^13C,^15N2] hyperpolarisée",C,in_vivo,NMR,128 MHz,3.0,Noyau; ^13C+^15N,,,45.0,15000.0,,310.0,,DOI:10.1002/mrm.26877 Fig.3a,DOI:10.1002/mrm.26877 Fig.2b,,3000.0,8.0,,1.0,0.0,"Non toxique, biomarqueur rénal perfusion",1.0,,"Injection IV bolus 0.2 mL/kg, polarisation DNP 1.4 K, imagerie perfusion rénale 3T, ^13C et ^15N détectables, anesthésie","T1=45±8s intermédiaire, signal métabolique faible vs pyruvate, applications limitées fonction rénale",1.0,10.1002/mrm.26877,2017.0,3.0,verifie,Biomarqueur perfusion et fonction rénale. Double marquage ^13C + ^15N permet suivi simultané. T1=45±8s optimal pour imagerie dynamique. T2=15±3 ms. FDA potentiel urologie.,biological_qubits_v1,2025-11-19T02:19:30.335606
[1-^13C] Alpha-cétoglutarate hyperpolarisé,C,Rat cerveau (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,25.0,6000.0,,310.0,,DOI:10.1073/pnas.1305487110 Fig.4b,DOI:10.1073/pnas.1305487110 Fig.3a,,1200.0,5.0,,1.0,0.0,"Non toxique, métabolite cycle Krebs",1.0,,"Injection IV 0.15 mL/kg, polarisation DNP, imagerie métabolisme glutamate cérébral 3T, conversion enzymatique glutamate","T1=25±5s court limite observation, conversion métabolique rapide <20s, applications neuro-oncologie gliomes",1.0,10.1073/pnas.1305487110,2013.0,3.0,verifie,Métabolisme cérébral cycle Krebs. Conversion alpha-cétoglutarate → glutamate via transaminases. T1=25±5s court mais suffisant. T2=6±1.2 ms. Application gliomes IDH-mutés.,biological_qubits_v1,2025-11-19T02:19:30.335606
[1-^13C] Succinate hyperpolarisé,C,Souris coeur (in_vivo),NMR,128 MHz,3.0,Noyau; ^13C,,,35.0,9000.0,,310.0,,DOI:10.1161/CIRCULATIONAHA.110.940353 Fig.2c,DOI:10.1161/CIRCULATIONAHA.110.940353 Fig.3a,,1800.0,7.0,,1.0,0.0,"Non toxique, biomarqueur ischémie",1.0,,"Injection IV 0.12 mL/kg, biomarqueur ischémie cardiaque et reperfusion, accumulation zones ischémiques, 3T","T1=35±7s intermédiaire, signal métabolique modéré, applications cardiologie ischémie-reperfusion",1.0,10.1161/CIRCULATIONAHA.110.940353,2011.0,2.0,verifie,Biomarqueur ischémie myocardique. Accumulation succinate zones hypoxiques. T1=35±7s bon compromis. T2=9±1.8 ms prolongé. Cardioprotection post-infarctus.,biological_qubits_v1,2025-11-19T02:19:30.335606
^15N-marqué pour DNP ultra-longue,C,Solution aqueuse (in_vitro),NMR,60 MHz,1.4,Noyau; ^15N,,,900.0,600000.0,,295.0,,DOI:10.1126/sciadv.aaz1955 Fig.4c,DOI:10.1126/sciadv.aaz1955 Fig.3a,,150000.0,150.0,,1.0,0.0,"Non toxique in vitro, in vivo à démontrer",1.0,,"Polarisation DNP 1.4 K, T1 >15 min température ambiante 295 K, champ bas 1.4T, dissolution chaude","Pas encore in vivo démontré, coût isotope ^15N élevé (~1000€/g), applications biologiques à développer",0.0,10.1126/sciadv.aaz1955,2020.0,1.0,verifie,Recherche fondamentale capteurs persistants. T1=900±150s exceptionnel (15 min). T2=600±150 ms ouvre fenêtre >10 min mais biologie in vivo à prouver. Qualité 1.,biological_qubits_v1,2025-11-19T02:19:30.335606
(6-4) photolyase oxetane intermediate radical pair,D,Bacterial photolyase (in_vitro),radical_pair_detection,Variable,0.01,Electron; paires radicalaires,FAD + oxetane radical intermediate,(6-4) photolyase enzyme,,1.0,3.0,298.0,,DOI:10.1038/s42004-025-01625-9,,DOI:10.1038/s42004-025-01625-9,0.3,,1.0,0.0,0.0,"Enzyme, non-toxic",0.0,Blue-light activated FAD; oxetane catalytic intermediate,"(6-4) photolyase with DNA substrate, blue-light, magnetic field effect on repair yields",Transient intermediate; short radical-pair lifetime,0.0,10.1038/s42004-025-01625-9,2025.0,2.0,verifie,Distinct SCRP mechanism for UV-damage repair. Commun Chem 2025. Implications for magnetic-field biology outside cryptochrome.,enrichment_v3_D,2026-04-16T23:17:41.716842+00:00
6-4 photolyase FAD,D,in_vitro,radical_pair_detection,,,Electron,,,,0.5,,298.0,,,,,,,,,,,,,,,,10.1038/nature11242,2012.0,2.0,a_confirmer,FAD radical in 6-4 photolesion repair enzyme,nonoptical_merge_v2,2025-11-19T02:52:29.669526
Bacterial reaction center,D,in_vitro,radical_pair_detection,,,Electron,,,,0.01,,293.0,,,,,,,,,,,,,,,,10.1073/pnas.0408746102,2005.0,2.0,a_confirmer,Primary charge separation P+HA- radical pair,nonoptical_merge_v2,2025-11-19T02:52:29.669413
Cryptochrome (Cry1) - paires radicalaires,D,Cellules rétiniennes oiseaux (in_vivo),Indirect,Variable (champ B terre),5e-05,Electron; paires radicalaires,,,,0.001,,310.0,,,,,0.0005,,,0.0,0.0,"Non toxique (protéine endogène), controversé mécanisme",1.0,,"Hypothèse magnétoréception, lumière bleue 450-480 nm activateur, champ B terrestre ~50 µT, comportement","Mécanisme indirect, pas lecture ODMR directe, preuve comportementale seulement, débat scientifique actif",1.0,10.1038/nature09324,2010.0,1.0,deprecated,Classe D candidat mécanistique magnétoréception. Paires radicalaires [FAD•− TrpH•+] sensibles 50 µT champ terrestre. T2 ~1±0.5 ns estimé (non mesuré). Lecture indirecte comportement. Débat actif. | DEPRECATED v3.0: ErCry1 shown to be circadian-only; see PMC12757563 (2025). Not a magnetoreceptor.,biological_qubits_v1,2026-04-16T23:18:27.230936+00:00
Cryptochrome 1a,D,in_vitro,radical_pair_detection,,,Electron,,,,0.5,,293.0,,,,,,,,,,,,,,,,10.1146/annurev-biophys-032116-094545,2017.0,2.0,deprecated,Drosophila cryptochrome radical pair mechanism review | DEPRECATED v3.0: Early Cry1a assignment superseded; evidence now supports Cry4a as primary magnetoreceptor candidate.,nonoptical_merge_v2,2026-04-16T23:18:27.230936+00:00
Cryptochrome 4,D,in_vitro,radical_pair_detection,,,Electron,,,,1.0,,298.0,,,,,,,,,,,,,,,,10.1038/s41586-021-03618-9,2021.0,2.0,a_confirmer,Migratory bird cryptochrome showing magnetic sensitivity,nonoptical_merge_v2,2025-11-19T02:52:29.669195
DNA photolyase FAD-TrpH,D,in_vitro,radical_pair_detection,,,Electron,,,,1.0,,298.0,,,,,,,,,,,,,,,,10.1021/ja203749t,2011.0,2.0,a_confirmer,FAD-tryptophan radical pair in DNA repair enzyme,nonoptical_merge_v2,2025-11-19T02:52:29.669358
FMO complex - persistent coherence at 300 K (resolved),D,Photosynthetic bacteria (in_vitro),Indirect,Variable (fs-ps spectroscopy),0.0,Electron; excitonic coherence,Excitonic superposition,Fenna-Matthews-Olson complex,,0.0001,,300.0,,DOI:10.1126/sciadv.ady6751,,,5e-05,,,0.0,0.0,Endogenous bacterial protein,0.0,Exciton-vibrational coherent coupling; 2D electronic spectroscopy,2D ES at 77 K and 300 K; new low-noise pulse sequences resolving electronic vs vibrational coherences,Coherence lifetime ~100 fs at 300 K; biological relevance of quantum coherent transport debated,1.0,10.1126/sciadv.ady6751,2025.0,3.0,verifie,"Sci Adv 2025 resolves the 2018-2020 debate. Confirms persistent electronic coherence at ambient T (300 K), supports functional role in energy transfer. Milestone for quantum biology.",enrichment_v3_D,2026-04-16T23:17:41.716842+00:00
Ferredoxin [4Fe-4S],D,in_vitro,radical_pair_detection,,,Electron,,,,1.0,,298.0,,,,,,,,,,,,,,,,10.1016/0005-2728(96)00009-8,1996.0,2.0,a_confirmer,"Iron-sulfur cluster radical in spinach ferredoxin, EPR active",nonoptical_merge_v2,2025-11-19T02:52:29.669612
Flavin-Guanine radical pair in DNA (MFE 65%),D,DNA duplex (in_vitro),radical_pair_detection,Variable,0.028,Electron; paires radicalaires,[FAD.- / G.+] in DNA context,DNA helix,,0.5,65.0,295.0,,DOI:10.1038/s42004-025-01596-x,,DOI:10.1038/s42004-025-01596-x,0.1,,5.0,0.0,0.0,In vitro model,0.0,ex_UV/visible; flavin-guanine radical-pair,"Synthetic DNA probe with covalently attached flavin, photo-initiated radical pair, magnetic field up to 28 mT, RT",Model system; biological relevance indirect,0.0,10.1038/s42004-025-01596-x,2025.0,3.0,verifie,Large MFE (~65%) at 28 mT - one of the largest biological-context radical-pair MFEs. Commun Chem 2025. Implications for DNA damage response under magnetic fields.,enrichment_v3_D,2026-04-16T23:17:41.716842+00:00
GgCry4a (chicken cryptochrome 4a),D,Chicken retina (in_vitro purified),radical_pair_detection,Variable,5e-05,Electron; paires radicalaires,FAD-Trp SCRP,Recombinant protein in E. coli,,0.001,,295.0,,DOI:10.1021/jacs.5c02987,,,0.0005,,,0.0,0.0,Recombinant protein,0.0,"FAD radical, blue-light activated","Purified GgCry4a + blue light, transient EPR",Comparative study with ErCry4a; magnetic sensitivity weaker than ErCry4a,0.0,10.1021/jacs.5c02987,2025.0,2.0,a_confirmer,Comparative cryptochrome study. Chicken GgCry4a as non-migratory control vs. ErCry4a to map magnetoreception determinants.,enrichment_v3_D,2026-04-16T23:17:41.716842+00:00
Lysozyme Trp radical,D,in_vitro,radical_pair_detection,,,Electron,,,,0.1,,293.0,,,,,,,,,,,,,,,,10.1021/ja00283a062,1987.0,2.0,a_confirmer,"Tryptophan radical in lysozyme, transient EPR detection",nonoptical_merge_v2,2025-11-19T02:52:29.669666
Magnétosomes bactériens (Magnetospirillum),D,Bactéries magnétotactiques (in_vivo),Indirect,,5e-05,Electron,Nanocristaux Fe3O4,,,,,295.0,30-50 (chaîne),,,,,,,0.0,0.0,Non toxique (système biologique naturel),1.0,,"Culture anaérobie, champ B terrestre ~50 µT, orientation collective chaîne magnétosomes, microscopie","Système complexe non contrôlable, pas de contrôle qubit individuel, magnétisme collectif seulement",1.0,10.1128/AEM.02879-09,2010.0,1.0,verifie,Classe D biomagnétisme naturel. Magnétite Fe3O4 nanocristaux 30-50 nm en chaîne orientent bactérie. Pas qubit manipulé mais quantique proposé. Phénomène naturel. Qualité 1.,biological_qubits_v1,2025-11-19T02:19:30.335606
Mitochondrial Complex I flavin,D,in_vitro,radical_pair_detection,,,Electron,,,,1.0,,310.0,,,,,,,,,,,,,,,,10.1073/pnas.1220074110,2013.0,2.0,a_confirmer,Flavin semiquinone radical in respiratory complex I,nonoptical_merge_v2,2025-11-19T02:52:29.669471
