Systeme,Classe,DOI,T1_s,T2_us,Temperature_K,Contraste_%,Hote_contexte,Methode_lecture,Qualite,Verification_statut,_source_file,_source_category,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,Annee,Notes,dataset_source,last_updated,id,system_type,T1_us,notes,label,T2_star_microseconds,magnetic_sensitivity_nT_rtHz,curator,protein_or_complex,observable,field_sensitivity_uT,mfe_percent,nucleus,host,coupling_strength_Hz,merge_note,flag_suspect,flag_reason,Data_Quality_Atlas
Fumarate ^13C hyperpolarisé,C,10.1073/pnas.0911447107,100.0,12000.0,295.0,,Souris (in_vivo),NMR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1073/pnas.0911447107 Fig.2a,DOI:10.1073/pnas.0911447107 Suppl.S1,,2500.0,20.0,,1.0,0.0,"Non toxique, biomarqueur apoptose",1.0,,"Injection IV 0.15 mL/kg, biomarqueur nécrose tumorale, réduction enzymatique en malate, 3T","Moins réactif métaboliquement que pyruvate, cinétique lente (pic 60-90s post-injection)",1.0,2009.0,"Détection mort cellulaire via réduction malate. T1=100±20s très long, T2=12±2.5 ms = fenêtre observation étendue 3-5 min. Application oncologie.",biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
GeV- center in diamond,B,10.1103/physrevlett.119.253601,0.0,,4.0,,diamond,ODMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Germanium vacancy, narrow zero-phonon line at cryogenic temperature",nonoptical_merge_v2,2025-11-19T02:52:29.669054,,,,,,,,,,,,,,,,,0,,LOW
GeV- center in diamond,spin_qubit,10.1103/PhysRevLett.119.253601,,,4.0,,diamond,ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_GEV_001,GeV_center,100.0,"Germanium vacancy, narrow zero-phonon line at cryogenic temperature",,,,,,,,,,,,,0,,LOW
Glucose ^13C hyperpolarisé,C,10.1002/mrm.25951,90.0,8000.0,310.0,,Rat (in_vivo),NMR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1002/mrm.25951 Table2,DOI:10.1002/mrm.25951 Fig.3b,,2000.0,15.0,,1.0,0.0,"Aucune toxicité, métabolite naturel",1.0,,"Injection IV lente 0.2 mL/kg, polarisation DNP, imagerie métabolisme cérébral 3T, anesthésie isoflurane","Coût élevé DNP, T1=90±15s plus long que pyruvate mais signal conversion glycogène plus faible",1.0,2016.0,Suivi métabolisme cérébral glycogène. T1=90±15s (meilleur que pyruvate). T2=8±2 ms prolongé mais signal métabolique 5× plus faible.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
Lactate [1-^13C] hyperpolarisé,C,10.1073/pnas.1217131110,30.0,7000.0,310.0,,Souris tumeurs (in_vivo),NMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1073/pnas.1217131110 Fig.2a,DOI:10.1073/pnas.1217131110 Fig.3b,,1400.0,6.0,,1.0,0.0,"Non toxique, biomarqueur métabolisme glycolytique",1.0,,"Injection IV 0.1 mL/kg, biomarqueur effet Warburg tumoral, conversion pyruvate→lactate LDH, imagerie dynamique 3T","T1=30±6s limite fenêtre, signal métabolique fort mais rapide (conversion <20s), applications oncologie",1.0,2013.0,Biomarqueur métabolisme Warburg (glycolyse aérobie tumorale). Conversion pyruvate→lactate via LDH. T1=30±6s court mais suffisant. T2=7±1.4 ms. Ratio lactate/pyruvate = agressivité tumorale.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
Lysozyme Trp radical,D,10.1021/ja00283a062,,0.1,293.0,,Hen egg white,radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Tryptophan radical in lysozyme, transient EPR detection",nonoptical_merge_v2,2025-11-19T02:52:29.669666,,,,,,,,,,,,,,,,,0,,MEDIUM
Lysozyme Trp radical,radical_pair,10.1021/ja00283a062,,0.1,293.0,,Hen egg white,radical_pair_detection,B,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_LYSOZYME_001,electron_transfer,,"Tryptophan radical in lysozyme, transient EPR detection",,,,,,,,,,,,,0,,MEDIUM
Magnétosomes bactériens (Magnetospirillum),D,10.1128/AEM.02879-09,,,295.0,,Bactéries magnétotactiques (in_vivo),Indirect,1.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,,5e-05,Electron,Nanocristaux Fe3O4,,30-50 (chaîne),,,,,,,0.0,0.0,Non toxique (système biologique naturel),1.0,,"Culture anaérobie, champ B terrestre ~50 µT, orientation collective chaîne magnétosomes, microscopie","Système complexe non contrôlable, pas de contrôle qubit individuel, magnétisme collectif seulement",1.0,2010.0,Classe D biomagnétisme naturel. Magnétite Fe3O4 nanocristaux 30-50 nm en chaîne orientent bactérie. Pas qubit manipulé mais quantique proposé. Phénomène naturel. Qualité 1.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,LOW
Mitochondrial Complex I flavin,D,10.1073/pnas.1220074110,,1.0,310.0,,Bos taurus,radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,Flavin semiquinone radical in respiratory complex I,nonoptical_merge_v2,2025-11-19T02:52:29.669471,,,,,,,,,,,,,,,,,0,,MEDIUM
Mitochondrial Complex I flavin,radical_pair,10.1073/pnas.1220074110,,1.0,310.0,,Bos taurus,radical_pair_detection,B,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_MITOCHONDRIA_001,electron_transfer,,Flavin semiquinone radical in respiratory complex I,,,,,,,,,,,,,0,,MEDIUM
N@C60 endohedral fullerene,B,10.1038/ncomms10240,0.6,,230.0,,fullerene_cage,pulsed_ESR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Nitrogen atom trapped in C60, exceptionally long T1 for molecular system",nonoptical_merge_v2,2025-11-19T02:52:29.668999,,,,,,,,,,,,,,,,,0,,MEDIUM
N@C60 endohedral fullerene,spin_qubit,10.1038/ncomms10240,,,230.0,,fullerene_cage,pulsed_ESR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_FULLERENE_001,endohedral_fullerene,600000.0,"Nitrogen atom trapped in C60, exceptionally long T1 for molecular system",,,,,,,,,,,,,0,,LOW
Nanodiamants NV (25 nm) en C. elegans,B,10.1038/nnano.2013.174,,0.95,295.0,10.0,C. elegans (in_vivo),ODMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,2.87 GHz,0.005,Electron,NV,,25,DOI:10.1038/nnano.2013.174 Fig.4c,,DOI:10.1038/nnano.2013.174 Fig.3d,0.25,,3.0,0.0,0.0,"Aucune toxicité détectée sur 7 jours, mobilité libre",1.0,em_637-800nm; ZPL_637nm,"Micro-injection neurones ASH, laser 532 nm pulsé, imagerie confocale, NGM agar 20°C","Distribution hétérogène organes, difficulté ciblage précis, mobilité nanoparticules tissus",1.0,2013.0,Première démo in vivo organisme multicellulaire. Suivi température ±0.5 K et champs B 1-100 µT dans neurones. Preuve de concept bio-compatibilité. T2=0.95±0.25 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Nanodiamants NV (50-100 nm) en cellules HeLa,B,10.1073/pnas.0912611107,,1.2,295.0,15.0,Cellules HeLa (in_cellulo),ODMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,2.87 GHz,0.005,Electron,NV,,50-100,DOI:10.1073/pnas.0912611107 Suppl.Fig.S3,,DOI:10.1073/pnas.0912611107 Fig.3b,0.3,,4.0,0.0,1.0,"Cytotoxicité faible <100 µg/mL, agrégation possible doses élevées",1.0,em_637-800nm; ZPL_637nm,"Internalisation endocytose 4h, laser 532 nm CW 10 mW, champ B 5 mT, DMEM+FBS","Agrégation lysosomale, cytotoxicité doses >500 µg/mL, T2 réduit 1000× vs bulk environnement",0.0,2010.0,Capteurs magnétiques et thermiques intra-cellulaires. T2 ~1.2±0.3 µs (vs 1-2 ms bulk) dû environnement biologique. Référence fondatrice classe B. Contraste 15±4%.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Nanotubes de carbone avec défauts sp3,B,10.1038/s41467-020-19390-3,,2.3,295.0,5.0,Solution tampon PBS (in_vitro),ESR,2.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,9.5 GHz (bande X),0.34,Electron,Defaut-sp3,,d:1-2nm; L:100-500nm,DOI:10.1038/s41467-020-19390-3 Suppl.Table1,,DOI:10.1038/s41467-020-19390-3 Fig.2d,0.8,,2.0,0.0,0.0,"Biocompatibilité à confirmer, agrégation variable",0.0,,"Suspension aqueuse PBS pH 7.4, spectro bande X ESR, sonication 30 min, T ambiante","Stabilité long terme incertaine >24h, agrégation sans surfactant, T2 contexte cellulaire non mesuré",0.0,2020.0,Défauts spin nanotubes fonctionnalisés COO-. Potentiel bio-imagerie ESR mais T2 et biocompatibilité cellules à valider. Classe B exploratoire. T2=2.3±0.8 µs in vitro.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
NV ensembles en microcristaux (10 µm) injectés,B,10.1038/s41598-017-05387-w,,1.5,295.0,18.0,Cerveau souris (in_vivo),ODMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,2.87 GHz,0.005,Electron,NV,,10000 (10 µm),DOI:10.1038/s41598-017-05387-w Fig.5b,,DOI:10.1038/s41598-017-05387-w Fig.4c,0.4,,4.0,0.0,1.0,"Inflammation modérée post-injection, résolution sur 14 jours",1.0,em_637-800nm; ZPL_637nm,"Injection stéréotaxique cortex moteur, laser 532 nm pulsé 2-photon, imagerie profondeur 500 µm, anesthésie kétamine","Taille 10 µm limite diffusion vasculaire, inflammation gliale modérée jours 1-7, résolution spatiale 10 µm",1.0,2017.0,Magnétométrie intra-cérébrale. Détection activité neuronale champs B locaux 50-500 fT. Microcristaux vs nanodiamants = meilleur T2=1.5±0.4 µs mais diffusion limitée. Contraste 18±4%.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
NV nanodiamants (50 nm) en tumeurs solides,B,10.1038/s41551-021-00735-y,,0.85,310.0,12.0,Souris xénogreffe (in_vivo),ODMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,2.87 GHz,0.005,Electron,NV,,50,DOI:10.1038/s41551-021-00735-y Fig.4a,,DOI:10.1038/s41551-021-00735-y Fig.3c,0.22,,3.0,0.0,1.0,"Cytotoxicité faible, rétention tumorale EPR 48h",1.0,em_637-800nm; ZPL_637nm,"Injection IV systémique 5 mg/kg, accumulation tumorale effet EPR, imagerie fluorescence + ODMR température 310K, anesthésie","Accumulation tumorale 2-5% dose injectée, clairance hépatique 72h, résolution spatiale 50 µm limitée profondeur",1.0,2021.0,Nanothermométrie tumorale in vivo. Accumulation par effet EPR (Enhanced Permeability Retention). Mesure température intra-tumorale ±0.3 K. T2=0.85±0.22 µs environnement tumoral. Contraste 12±3%.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
NV- center in diamond (77K),B,10.1103/physrevb.79.075203,,600000.0,,,diamond,ODMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"NV- at liquid nitrogen temperature, extended coherence",nonoptical_merge_v2,2025-11-19T02:52:29.668695,,,,,,,,,,,,,,,,,0,,MEDIUM
NV- center in diamond (77K),spin_qubit,10.1103/PhysRevB.79.075203,,600000.0,,,diamond,ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_NV_002,NV_center,,"NV- at liquid nitrogen temperature, extended coherence",,,,,,,,,,,,,0,,MEDIUM
NV- center in diamond (room temp),B,10.1016/j.physrep.2013.02.001,6.0,1800.0,298.0,,diamond,ODMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Negatively charged nitrogen-vacancy center, typical values at room temperature",nonoptical_merge_v2,2025-11-19T02:52:29.668615,,,,,,,,,,,,,,,,,0,,MEDIUM
NV- center in diamond (room temp),spin_qubit,10.1016/j.physrep.2013.02.001,,1800.0,298.0,,diamond,ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_NV_001,NV_center,6000000.0,"Negatively charged nitrogen-vacancy center, typical values at room temperature",,,,,,,,,,,,,0,,MEDIUM
P1 center in diamond,B,10.1103/physrevb.79.075203,,50.0,298.0,,diamond,ODMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Substitutional nitrogen (neutral), room temperature ESR",nonoptical_merge_v2,2025-11-19T02:52:29.668932,,,,,,,,,,,,,,,,,0,,MEDIUM
P1 center in diamond,spin_qubit,10.1103/PhysRevB.79.075203,,50.0,298.0,,diamond,ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_P1_001,P1_center,,"Substitutional nitrogen (neutral), room temperature ESR",,,,,,,,,,,,,0,,MEDIUM
Paires radicalaires FMO complex (cohérence quantique),D,10.1038/nature05678,,0.0,77.0,,Bactéries photosynthétiques (in_vivo),Indirect,3.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,Variable,0.0,Electron; paires radicalaires,,,Complexe protéique,DOI:10.1038/nature05678 Fig.2,,,0.0003,,,0.0,0.0,"Protéine endogène, non toxique, système photosynthétique",1.0,,"Complexe Fenna-Matthews-Olson, spectroscopie 2D électronique femtoseconde, T=77K et 277K, transfert énergie excitonique","Cohérence quantique controversée (débat 2007-2025), mesures ultra-rapides <100fs, T2=0.6±0.3 ns, interprétation classique vs quantique débattue",1.0,2007.0,"DÉCOUVERTE MAJEURE : Cohérence quantique à 77-277K dans transfert énergie photosynthétique (Engel, Nature 2007). Battements quantiques observés. DÉBAT ACTIF : rôle fonctionnel vs artefact. Classe D car mécanisme indirect. Question fondamentale : évolution exploite-t-elle effets quantiques ? Qualité 3 (Nature) mais à confirmer (controversé).",biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,LOW
Photosystem II D1-D2,D,10.1073/pnas.1316207110,,0.1,298.0,,Spinacia oleracea (spinach),radical_pair_detection,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,Radical pair in PSII reaction center,nonoptical_merge_v2,2025-11-19T02:52:29.669303,,,,,,,,,,,,,,,,,0,,MEDIUM
Photosystem II D1-D2,radical_pair,10.1073/pnas.1316207110,,0.1,298.0,,Spinacia oleracea (spinach),radical_pair_detection,B,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,RP_PSII_001,singlet_yield,,Radical pair in PSII reaction center,,,,,,,,,,,,,0,,MEDIUM
Protéine fluorescente avec lecture ODMR,A,10.1038/s41586-024-08300-4,,0.8,295.0,12.0,Cellules HeLa (in_cellulo),ODMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,2.87 GHz,0.005,Electron,,,,DOI:10.1038/s41586-024-08300-4 Fig.2c,,DOI:10.1038/s41586-024-08300-4 Fig.3a,0.2,,3.0,0.0,1.0,"Cytotoxicité faible, photoblanchiment modéré",1.0,ex_488nm; em_520nm; lifetime_3.2ns; QY_0.65,"Milieu cellulaire pH 7.4, laser 488 nm CW 100mW, micro-ondes 2.87 GHz, incubation 24h","Photoblanchiment modéré après 30 min, T2 court limite sensibilité, expression hétérogène",0.0,2025.0,Premier qubit protéique démontré en cellules vivantes (Univ. Chicago). Lecture ODMR de spin électronique dans chromophore protéique GFP modifiée. Révolution classe A. Contraste 12±3% mesuré.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Protéine LOV2 modifiée (flavine),A,10.1021/jacs.0c12505,,0.02,295.0,2.0,Lysat E. coli (in_vitro),ESR,1.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,9.5 GHz (bande X),0.34,Electron,Radical-flavine,,,DOI:10.1021/jacs.0c12505 Suppl.Fig.S4,,DOI:10.1021/jacs.0c12505 Fig.3b,0.01,,1.0,0.0,0.0,"Non toxique in vitro, in cellulo à tester",0.0,ex_450nm; em_495nm; lifetime_4.5ns; radical-flavine,"Lysat bactérien E. coli pH 7.5, photo-activation laser 450 nm CW 20 mW, ESR bande X, T ambiante","T2 ultra-court 20±10 ns insuffisant qubit, signal faible, pas testé cellules vivantes, optimisation drastique requise",0.0,2021.0,Protéine photo-activable générant radical flavine FMN•−. Classe A exploratoire. T2=20±10 ns limite physique pour qubit. Potentiel si ingénierie protéine. Qualité 1.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Pyruvate ^13C hyperpolarisé (DNP),C,10.1073/pnas.0606881103,60.0,5000.0,295.0,,Souris/Humain (in_vivo),NMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C,,,,DOI:10.1073/pnas.0606881103 Table1,DOI:10.1073/pnas.0606881103 Fig.4a,,1000.0,10.0,,1.0,0.0,"Aucune toxicité doses cliniques, FDA-approuvé",1.0,,"Injection IV bolus 0.1 mL/kg, polarisation DNP 1.4 K puis dissolution rapide <5s, RMN 3T, acquisition dynamique 1s","Relaxation T1=60±10s limite fenêtre observation, coût infrastructure DNP ~500k€, dose unique",1.0,2006.0,"Imagerie métabolique temps réel glycolyse. FDA-approuvé cancer prostate 2023. T1=60±10s critique. T2=5±1 ms. Gain signal >10,000×. Référence classe C hyperpolarisé.",biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
Quantum dots CdSe avec lecture de spin,B,10.1103/PhysRevLett.104.067405,,0.05,77.0,3.0,Solution cryogénique (in_vitro),Optical-only,1.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,Variable,5.0,Electron,Exciton,,5-10,,,,0.02,,1.0,0.0,1.0,"Toxicité Cd élevée, NON biocompatible",0.0,,"Cryogénique 77 K azote liquide, laser accordable 600-650 nm, champ B 5 T, rotation Faraday","Requiert 77 K obligatoire, toxicité Cd++ mortelle cellules, T2 ultra-court 50 ns, NON applicable vivant",0.0,2010.0,Détection optique Faraday rotation. Référence lecture spin quantum dots mais NON applicable biologie (cryo+toxique). Qualité 1 justifiée. T2=0.05±0.02 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Quantum dots InP/ZnS biocompatibles,B,10.1021/acsnano.7b08724,,0.03,295.0,,Cellules HeLa (in_cellulo),Optical-only,1.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,Variable,0.0,Electron,Exciton,,5-8,DOI:10.1021/acsnano.7b08724 Fig.4c,,,0.015,,,0.0,0.0,"Non toxique (sans Cd/Pb), biocompatible <200 µg/mL",1.0,em_600-700nm; QY_0.45,"Milieu culture DMEM, imagerie fluorescence, pas de lecture spin directe, bioconjugaison anticorps, RT","T2=30±15 ns estimé (non mesuré spin), pas de lecture ODMR/ESR démontrée, seulement fluorescence, potentiel théorique",0.0,2017.0,InP/ZnS alternative non-toxique CdSe. Émission 600-700nm rouge. Biocompatible mais lecture spin non démontrée. T2=0.03±0.015 µs estimé exciton. Classe B qualité 1 : potentiel théorique seulement.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Radical tyrosyl dans Cryptochrome (magnétoréception),D,10.1038/ncomms5865,,0.0,295.0,,Oiseaux migrateurs rétine (in_vivo),Indirect,2.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,Variable (champ B terre),5e-05,Electron; radical tyrosyl,,,,DOI:10.1038/ncomms5865 Fig.3a,,,0.0005,,,0.0,0.0,"Protéine endogène, radical photo-induit stable",1.0,ex_450-480nm; radical Trp-Tyr,"Cryptochrome Cry4, lumière bleue activation, paire radicalaire FAD-Tyr, champ B terrestre 50µT, comportement migratoire","Radical tyrosyl STABLE (vs transitoire RNR), T2~1±0.5ns, mécanisme magnétoréception controversé, preuve comportementale seulement, débat actif",1.0,2014.0,"Radical tyrosyl photo-induit dans Cry4 aviaire. DIFFÉRENT du tyrosyl RNR : STABLE et magnétosensible. Paire radicalaire [FAD•− Tyr•] proposée pour magnétoréception. T2~1ns (vs 15ns RNR). Classe D mécanistique. INTRIGUANT : même radical, contextes différents, T2 similaires mais fonctions opposées (catalyse vs détection).",biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,LOW
Radicaux nitroxyde (TEMPO) en imagerie EPR,C,10.1016/j.freeradbiomed.2014.01.045,0.0,0.5,310.0,,Souris (in_vivo),ESR,2.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,250 MHz (L-band),0.009,Electron,Radical-nitroxyde,,,DOI:10.1016/j.freeradbiomed.2014.01.045 Fig.3,DOI:10.1016/j.freeradbiomed.2014.01.045 Fig.2b,,0.2,3e-07,,0.0,1.0,"Toxicité modérée >50 mg/kg, réduction rapide in vivo",1.0,,"Injection IV 25 mg/kg, imagerie EPR bas champ 9 mT (250 MHz), résolution spatiale 2 mm, anesthésie","Réduction biologique rapide T1=1±0.3 µs in vivo limite fenêtre <10s, toxicité modérée doses élevées",1.0,2014.0,Sonde redox in vivo stress oxydatif. Spin électronique (pas noyau). Applications précliniques. T1=1±0.3 µs ultra-court = limitation majeure. T2=0.5±0.2 µs.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
Radicaux tyrosyl dans ribonucléotide réductase,A,10.1021/bi00483a003,,0.02,295.0,2.0,E. coli lysat (in_vitro),ESR,1.0,a_confirmer,quantum_systems_unified_v2.csv,qubits_unified,9.5 GHz (bande X),0.34,Electron,Radical-tyrosyl,,,DOI:10.1021/bi00483a003 Suppl.S2,,,0.008,,1.0,0.0,0.0,"Non toxique in vitro, enzyme essentielle, radical transitoire",1.0,g-factor_2.0045; linewidth_1.5mT,"Lysat E. coli, anaérobie, hydroxyurea réduction Fe-center, ESR bande X 295K, radical Y122","T2=15±8 ns ultra-court, radical transitoire instable >1s sous air, pas démontré cellules vivantes, classe A exploratoire",0.0,1991.0,Radical tyrosyl Y122 essentiel synthèse ADN. Enzyme ribonucléotide réductase (RNR). T2=0.015±0.008 µs (15 ns) limite qubit. Classe A bio-intrinsèque mais performances faibles. Qualité 1.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,MEDIUM
SiV- center in diamond,spin_qubit,10.1103/PhysRevLett.113.020503,,13.0,,,diamond,ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIV_001,SiV_center,,"Negatively charged silicon vacancy, narrow optical linewidth",,,,,,,,,,,,,0,,MEDIUM
SnV- center in diamond,spin_qubit,10.1103/PhysRevLett.113.020503,,3.5,,,diamond,ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SNV_001,SnV_center,,"Tin vacancy, shows Fourier-limited optical transitions",,,,,,,,,,,,,0,,MEDIUM
"Urée [^13C,^15N2] hyperpolarisée",C,10.1002/mrm.26877,45.0,15000.0,310.0,,Rat/Souris (in_vivo),NMR,3.0,verifie,quantum_systems_unified_v2.csv,qubits_unified,128 MHz,3.0,Noyau; ^13C+^15N,,,,DOI:10.1002/mrm.26877 Fig.3a,DOI:10.1002/mrm.26877 Fig.2b,,3000.0,8.0,,1.0,0.0,"Non toxique, biomarqueur rénal perfusion",1.0,,"Injection IV bolus 0.2 mL/kg, polarisation DNP 1.4 K, imagerie perfusion rénale 3T, ^13C et ^15N détectables, anesthésie","T1=45±8s intermédiaire, signal métabolique faible vs pyruvate, applications limitées fonction rénale",1.0,2017.0,Biomarqueur perfusion et fonction rénale. Double marquage ^13C + ^15N permet suivi simultané. T1=45±8s optimal pour imagerie dynamique. T2=15±3 ms. FDA potentiel urologie.,biological_qubits_v1,2025-11-19T02:19:30.335606,,,,,,,,,,,,,,,,"Merged from 3 rows: quantum_systems_unified_v2.csv, quantum_systems_unified.csv, biological_qubits.csv",0,,HIGH
VSi defect 4H-SiC V1 site,B,10.1103/physrevb.92.115206,,120.0,,,silicon_carbide,ODMR,,,quantum_systems_unified_v2.csv,qubits_unified,,,,,,,,,,,,,,,,,,,,,,"Silicon vacancy V1 site in 4H polytype, complementary to V2",nonoptical_merge_v2,2025-11-19T02:52:29.669141,,,,,,,,,,,,,,,,,0,,MEDIUM
VSi defect 4H-SiC V1 site,spin_qubit,10.1103/PhysRevB.92.115206,,120.0,,,silicon_carbide,ODMR,A,,nonoptical_qubits_consolidated.csv,qubits_nonoptical,,,,,,,,,,,,,,,,,,,,,,,,,SPIN_SIC_003,SiC_defect,,"Silicon vacancy V1 site in 4H polytype, complementary to V2",,,,,,,,,,,,,0,,MEDIUM
