Systeme,Classe,Hote_contexte,Methode_lecture,Frequence,B0_Tesla,Spin_type,Defaut,Polytype_Site,T1_s,T2_us,Contraste_%,Temperature_K,Taille_objet_nm,Source_T2,Source_T1,Source_Contraste,T2_us_err,T1_s_err,Contraste_err,Hyperpol_flag,Cytotox_flag,Toxicity_note,Temp_controlled,Photophysique,Conditions,Limitations,In_vivo_flag,DOI,Annee,Qualite,Verification_statut,Notes,dataset_source,last_updated
Quantum dots InP/ZnS biocompatibles,B,Cellules HeLa (in_cellulo),Optical-only,Variable,0.0,Electron,Exciton,,,0.03,,295.0,5-8,DOI:10.1021/acsnano.7b08724 Fig.4c,,,0.015,,,0.0,0.0,"Non toxique (sans Cd/Pb), biocompatible <200 µg/mL",1.0,em_600-700nm; QY_0.45,"Milieu culture DMEM, imagerie fluorescence, pas de lecture spin directe, bioconjugaison anticorps, RT","T2=30±15 ns estimé (non mesuré spin), pas de lecture ODMR/ESR démontrée, seulement fluorescence, potentiel théorique",0.0,10.1021/acsnano.7b08724,2017.0,1.0,a_confirmer,InP/ZnS alternative non-toxique CdSe. Émission 600-700nm rouge. Biocompatible mais lecture spin non démontrée. T2=0.03±0.015 µs estimé exciton. Classe B qualité 1 : potentiel théorique seulement.,biological_qubits_v1,2025-11-19T02:19:30.335606
Paires radicalaires FMO complex (cohérence quantique),D,Bactéries photosynthétiques (in_vivo),Indirect,Variable,0.0,Electron; paires radicalaires,,,,0.0006,,77.0,Complexe protéique,DOI:10.1038/nature05678 Fig.2,,,0.0003,,,0.0,0.0,"Protéine endogène, non toxique, système photosynthétique",1.0,,"Complexe Fenna-Matthews-Olson, spectroscopie 2D électronique femtoseconde, T=77K et 277K, transfert énergie excitonique","Cohérence quantique controversée (débat 2007-2025), mesures ultra-rapides <100fs, T2=0.6±0.3 ns, interprétation classique vs quantique débattue",1.0,10.1038/nature05678,2007.0,3.0,a_confirmer,"DÉCOUVERTE MAJEURE : Cohérence quantique à 77-277K dans transfert énergie photosynthétique (Engel, Nature 2007). Battements quantiques observés. DÉBAT ACTIF : rôle fonctionnel vs artefact. Classe D car mécanisme indirect. Question fondamentale : évolution exploite-t-elle effets quantiques ? Qualité 3 (Nature) mais à confirmer (controversé).",biological_qubits_v1,2025-11-19T02:19:30.335606
Radical tyrosyl dans Cryptochrome (magnétoréception),D,Oiseaux migrateurs rétine (in_vivo),Indirect,Variable (champ B terre),5e-05,Electron; radical tyrosyl,,,,0.001,,295.0,,DOI:10.1038/ncomms5865 Fig.3a,,,0.0005,,,0.0,0.0,"Protéine endogène, radical photo-induit stable",1.0,ex_450-480nm; radical Trp-Tyr,"Cryptochrome Cry4, lumière bleue activation, paire radicalaire FAD-Tyr, champ B terrestre 50µT, comportement migratoire","Radical tyrosyl STABLE (vs transitoire RNR), T2~1±0.5ns, mécanisme magnétoréception controversé, preuve comportementale seulement, débat actif",1.0,10.1038/ncomms5865,2014.0,2.0,a_confirmer,"Radical tyrosyl photo-induit dans Cry4 aviaire. DIFFÉRENT du tyrosyl RNR : STABLE et magnétosensible. Paire radicalaire [FAD•− Tyr•] proposée pour magnétoréception. T2~1ns (vs 15ns RNR). Classe D mécanistique. INTRIGUANT : même radical, contextes différents, T2 similaires mais fonctions opposées (catalyse vs détection).",biological_qubits_v1,2025-11-19T02:19:30.335606
NV- center in diamond (room temp),B,bulk,ODMR,,,,,,6.0,1800.0,,298.0,,,,,,,,,,,,,,,,10.1016/j.physrep.2013.02.001,,,,"Negatively charged nitrogen-vacancy center, typical values at room temperature",nonoptical_merge_v2,2025-11-19T02:52:29.668615
NV- center in diamond (77K),B,in_vitro,ODMR,,,,,,,600000.0,,,,,,,,,,,,,,,,,,10.1103/physrevb.79.075203,,,,"NV- at liquid nitrogen temperature, extended coherence",nonoptical_merge_v2,2025-11-19T02:52:29.668695
VSi defect in 4H-SiC,B,bulk,ODMR,,,,,,,160.0,,,,,,,,,,,,,,,,,,10.1038/nmat4145,,,,"Silicon vacancy in 4H polytype, room temperature ODMR control",nonoptical_merge_v2,2025-11-19T02:52:29.668759
Divacancy in 4H-SiC,B,bulk,pulsed_ESR,,,,,,0.001,,,20.0,,,,,,,,,,,,,,,,10.1103/physrevlett.112.187601,,,,Neutral divacancy defect at cryogenic temperature,nonoptical_merge_v2,2025-11-19T02:52:29.668818
P1 center in diamond,B,bulk,ODMR,,,,,,,50.0,,298.0,,,,,,,,,,,,,,,,10.1103/physrevb.79.075203,,,,"Substitutional nitrogen (neutral), room temperature ESR",nonoptical_merge_v2,2025-11-19T02:52:29.668932
N@C60 endohedral fullerene,B,bulk,pulsed_ESR,,,,,,0.6,,,230.0,,,,,,,,,,,,,,,,10.1038/ncomms10240,,,,"Nitrogen atom trapped in C60, exceptionally long T1 for molecular system",nonoptical_merge_v2,2025-11-19T02:52:29.668999
GeV- center in diamond,B,bulk,ODMR,,,,,,0.0001,,,4.0,,,,,,,,,,,,,,,,10.1103/physrevlett.119.253601,,,,"Germanium vacancy, narrow zero-phonon line at cryogenic temperature",nonoptical_merge_v2,2025-11-19T02:52:29.669054
VSi defect 4H-SiC V1 site,B,bulk,ODMR,,,,,,,120.0,,,,,,,,,,,,,,,,,,10.1103/physrevb.92.115206,,,,"Silicon vacancy V1 site in 4H polytype, complementary to V2",nonoptical_merge_v2,2025-11-19T02:52:29.669141
Cryptochrome 4,D,in_vitro,radical_pair_detection,,,,,,,1.0,,298.0,,,,,,,,,,,,,,,,10.1038/s41586-021-03618-9,,,,Migratory bird cryptochrome showing magnetic sensitivity,nonoptical_merge_v2,2025-11-19T02:52:29.669195
Cryptochrome 1a,D,in_vitro,radical_pair_detection,,,,,,,0.5,,293.0,,,,,,,,,,,,,,,,10.1146/annurev-biophys-032116-094545,,,,Drosophila cryptochrome radical pair mechanism review,nonoptical_merge_v2,2025-11-19T02:52:29.669249
Photosystem II D1-D2,D,in_vitro,radical_pair_detection,,,,,,,0.1,,298.0,,,,,,,,,,,,,,,,10.1073/pnas.1316207110,,,,Radical pair in PSII reaction center,nonoptical_merge_v2,2025-11-19T02:52:29.669303
DNA photolyase FAD-TrpH,D,in_vitro,radical_pair_detection,,,,,,,1.0,,298.0,,,,,,,,,,,,,,,,10.1021/ja203749t,,,,FAD-tryptophan radical pair in DNA repair enzyme,nonoptical_merge_v2,2025-11-19T02:52:29.669358
Bacterial reaction center,D,in_vitro,radical_pair_detection,,,,,,,0.01,,293.0,,,,,,,,,,,,,,,,10.1073/pnas.0408746102,,,,Primary charge separation P+HA- radical pair,nonoptical_merge_v2,2025-11-19T02:52:29.669413
Mitochondrial Complex I flavin,D,in_vitro,radical_pair_detection,,,,,,,1.0,,310.0,,,,,,,,,,,,,,,,10.1073/pnas.1220074110,,,,Flavin semiquinone radical in respiratory complex I,nonoptical_merge_v2,2025-11-19T02:52:29.669471
6-4 photolyase FAD,D,in_vitro,radical_pair_detection,,,,,,,0.5,,298.0,,,,,,,,,,,,,,,,10.1038/nature11242,,,,FAD radical in 6-4 photolesion repair enzyme,nonoptical_merge_v2,2025-11-19T02:52:29.669526
Ferredoxin [4Fe-4S],D,in_vitro,radical_pair_detection,,,,,,,1.0,,298.0,,,,,,,,,,,,,,,,10.1016/0005-2728(96)00009-8,,,,"Iron-sulfur cluster radical in spinach ferredoxin, EPR active",nonoptical_merge_v2,2025-11-19T02:52:29.669612
Lysozyme Trp radical,D,in_vitro,radical_pair_detection,,,,,,,0.1,,293.0,,,,,,,,,,,,,,,,10.1021/ja00283a062,,,,"Tryptophan radical in lysozyme, transient EPR detection",nonoptical_merge_v2,2025-11-19T02:52:29.669666
13C in diamond (coupled to NV),C,bulk,dynamical_decoupling,,,,,,,1000000.0,,298.0,,,,,,,,,,,,,,,,10.1103/physrevlett.109.137602,,,,"13C nuclear spin coupled to NV center, room temperature",nonoptical_merge_v2,2025-11-19T02:52:29.669720
31P in silicon (donor),C,bulk,pulsed_NMR,,,,,,60.0,30000000.0,,2.0,,,,,,,,,,,,,,,,10.1038/nature08812,,,,"31P donor nuclear spin in silicon, long coherence times",nonoptical_merge_v2,2025-11-19T02:52:29.669774
14N in diamond (NV center intrinsic),C,bulk,ODMR,,,,,,,3000.0,,298.0,,,,,,,,,,,,,,,,10.1126/science.1231364,,,,"14N nuclear spin intrinsic to NV center, room temperature control",nonoptical_merge_v2,2025-11-19T02:52:29.669828
29Si in silicon (bulk),C,bulk,NMR,,,,,,,1800000000.0,,4.2,,,,,,,,,,,,,,,,10.1038/nature11449,,,,29Si nuclear spins in isotopically purified silicon,nonoptical_merge_v2,2025-11-19T02:52:29.669881
13C in pyruvate (hyperpolarized),C,in_vivo,DNP_MRI,,,,,,60.0,,,310.0,,,,,,,,,,,,,,,,10.1073/pnas.0601319103,,,,"Hyperpolarized 13C-pyruvate for in vivo metabolic imaging, FDA-approved",nonoptical_merge_v2,2025-11-19T02:52:29.669934
13C in lactate (hyperpolarized),C,in_vitro,DNP_MRI,,,,,,45.0,,,310.0,,,,,,,,,,,,,,,,10.1002/mrm.25460,,,,"Hyperpolarized 13C-lactate, downstream metabolite of pyruvate",nonoptical_merge_v2,2025-11-19T02:52:29.669999
15N in choline (hyperpolarized),C,in_vitro,DNP_MRI,,,,,,90.0,,,298.0,,,,,,,,,,,,,,,,10.1002/mrm.26854,,,,Hyperpolarized 15N-choline for cell membrane imaging,nonoptical_merge_v2,2025-11-19T02:52:29.670052
