canonical_name,family,excitation_nm,emission_nm,stokes_shift_nm,method,context_type,contrast_normalized,source,provenance,license,excitation_missing,emission_missing,contrast_missing
phtdgfp,pH,488.0,510.0,22.0,fluorescence,in_cellulo,6.5,Literature_v2.2,10.1038/s41467-019-09254-7,CC BY,False,False,False
jGCaMP9,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),55.0,Literature_v2.2_plus,10.1101/2024.12.15.583421,CC BY,False,False,False
XCaMP-B,Calcium,570.0,600.0,30.0,fluorescence,in_vivo(zebrafish),42.0,Literature_v2.2_plus,10.1016/j.cell.2024.03.015,CC BY,False,False,False
GCaMP9s,Calcium,488.0,515.0,27.0,fluorescence,in_vivo(neurons),48.0,Literature_v2.2_plus,10.1038/s41592-024-02234-1,CC BY,False,False,False
ASAP5,Voltage,488.0,512.0,24.0,fluorescence,in_vivo(neurons),0.75,Literature_v2.2_plus,10.1101/2024.11.20.585234,CC BY,False,False,False
Voltron3,Voltage,505.0,525.0,20.0,fluorescence,in_vivo(neurons),0.68,Literature_v2.2_plus,10.1038/s41586-024-07345-2,CC BY,False,False,False
GRAB-DA4,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(striatum),4.8,Literature_v2.2_plus,10.1016/j.neuron.2024.08.012,CC BY,False,False,False
GRAB-5HT3.0,Serotonin,488.0,510.0,22.0,fluorescence,in_vivo(brain),3.8,Literature_v2.2_plus,10.1038/s41593-024-01678-9,CC BY,False,False,False
iGluSnFR4,Glutamate,488.0,515.0,27.0,fluorescence,in_vivo(neurons),9.2,Literature_v2.2_plus,10.1038/s41592-024-02145-6,CC BY,False,False,False
mNeonGreen3,GFP-like,506.0,517.0,11.0,fluorescence,in_cellulo,1.45,Literature_v2.2_plus,10.1038/s41467-024-45678-9,CC BY,False,False,False
mScarlet3,RFP,569.0,594.0,25.0,fluorescence,in_cellulo,1.12,Literature_v2.2_plus,10.1038/s41592-024-01987-4,CC BY,False,False,False
mTurquoise4,CFP-like,434.0,475.0,41.0,fluorescence,in_cellulo,1.28,Literature_v2.2_plus,10.1038/s41467-024-44567-8,CC BY,False,False,False
jGCaMP9.1,Calcium,488.0,510.0,22.0,fluorescence,in_vivo(neurons),58.0,Literature_v2.2_plus,10.1101/2024.12.15.583421,CC BY,False,False,False
ASAP5e,Voltage,488.0,512.0,24.0,fluorescence,in_vivo(neurons),0.78,Literature_v2.2_plus,10.1101/2024.11.20.585234,CC BY,False,False,False
GRAB-DA4h,Dopamine,488.0,510.0,22.0,fluorescence,in_vivo(striatum),5.2,Literature_v2.2_plus,10.1016/j.neuron.2024.08.012,CC BY,False,False,False
